variable,p_val,avg_log2FC,p_val_adj
Rac2_B5,0.2153107493499366,-0.1272855456259522,0.4056131955896539
Rbx1_B5,0.007750865708345,0.2683687991250333,0.0544684124435751
Slc38a1_B5,0.0095578312296578,0.3346518644137999,0.0603097362176685
Atp5g2_B5,0.0573787409700722,-0.1552621897128879,0.1709050276518493
Iglc2_B5,0.0970382453253622,-0.2187471970501303,0.2379747378353454
Rpl35a_B5,0.4268635389378423,0.011622904191573,0.6238774799860772
Son_B5,0.133627453812384,-0.1143319789257663,0.2933162052304623
Mpc1_B5,0.0758721322565368,0.2955626444793088,0.2026200157534759
Rps2_B5,0.015860919266492,0.2236496538946498,0.0847567873303166
Srsf3_B5,0.0490556423358853,0.2781543478977422,0.1582738648950261
Rps18_B5,0.0314201794077955,0.036552754926367,0.1259261877828054
H2-K1_B5,0.0021592442645074,-0.2002963732839808,0.0257602862254022
H2-Ab1_B5,0.0824958323410335,0.0406261557526446,0.2105490646315929
H2-Aa_B5,0.0029848376597602,0.055414381744104,0.0319004524886871
H2-D1_B5,0.0007144558228149,-0.1465799578470686,0.0147866671321396
H2-Q7_B5,0.0022725832923102,-0.651297294204796,0.0262065138273121
Gm42418_B5,3.175359212510915e-05,0.2147035948053977,0.0027149321266968
Hsp90ab1_B5,3.175359212510915e-05,0.1411220113862736,0.0027149321266968
Myl12b_B5,0.0276556527566731,-0.4556958563645228,0.1179974151084613
Crem_B5,0.0473446058585377,0.2710658072395031,0.157019177865158
Snrpd1_B5,0.0096401527677365,0.5413545876970073,0.0603097362176685
Malt1_B5,0.001641642300541,-0.6699373276104799,0.0227611486534468
Rpl17_B5,0.0010637453361911,-0.0644100058169314,0.0181900452488678
Pik3ap1_B5,0.0043194691495863,-1.2432773907551715,0.0395694227453173
Atp5md_B5,0.0061455131856455,0.4088130275918703,0.0477673979429718
Rpl39_B5,0.0073033261887751,-0.0709749663087205,0.0535229476405946
Rpl10_B5,0.0095578312296578,-0.0730745463446858,0.0603097362176685
Rps4x_B5,0.004096213384139,-0.0483420694445922,0.0382064993829692
Xist_B5,0.004096213384139,-0.3120620469604171,0.0382064993829692
Rpl36a_B5,0.0314201794077955,-0.0573282462017883,0.1259261877828054
Tmsb4x_B5,0.0015241724220052,0.0480544442687882,0.0217194570135741
mt-Nd1_B5,0.0054933714376438,0.0992782904817741,0.0454532185082462
mt-Nd2_B5,0.0252441057394617,0.134471192439206,0.1116398814167573
mt-Co2_B5,0.0314201794077955,0.0402880030888481,0.1259261877828054
mt-Atp6_B5,0.0015241724220052,0.0508621105453991,0.0217194570135741
mt-Co3_B5,0.0004763038818766,0.0779020920386517,0.0122171945701347
