Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median
H2-Aa_M1<==>Cd74_M1,0.0029292979845809,0.8928571428571428,0.1,0.8999999999999999,0.1,0.8999999999999999
H2-D1_B3<==>H2-Q7_B3,0.0741306348692159,0.6666666666666667,0.0,1.0,0.0,1.0
H2-Q7_T1<==>Cox7a2l_M0,0.1292448816497496,-0.5833333333333333,0.1,-0.8999999999999999,0.0,-1.0
Gm42418_B2<==>Gm42418_T4,0.028683944153193,0.7619047619047619,0.0,1.0,0.1,0.8999999999999999
Gm42418_B5<==>Gm42418_T3,0.0307154499851986,0.7619047619047619,0.1,0.8999999999999999,0.1,0.8999999999999999
Rpl36_B1<==>Malat1_T0,0.1964805885944973,-0.5119047619047619,0.0,1.0,0.0,1.0
Cox7a2l_M0<==>Rps4x_B2,0.1397777243388446,0.5714285714285714,0.1,0.8999999999999999,0.0,1.0
Crem_T2<==>Sat1_B1,0.1203464973074856,-0.5952380952380952,0.0,-1.0,0.1,-0.8999999999999999
Rps14_T5<==>Rpl17_T5,0.1090079803517346,0.6190476190476191,0.0,1.0,0.0,1.0
Rpl17_T5<==>mt-Atp6_B5,0.1203464973074856,-0.5952380952380952,0.0,1.0,0.1,0.8999999999999999
Atp5md_T1<==>mt-Co2_T5,0.1106314217965286,-0.6071428571428572,0.1,-0.8999999999999999,0.1,-0.8999999999999999
mt-Co2_B3<==>mt-Atp6_B3,0.0125391039048434,0.8214285714285714,0.0,1.0,0.0,1.0
mt-Co2_B4<==>mt-Co3_B4,0.0579903181645727,0.6904761904761905,0.0,1.0,0.1,0.8999999999999999
mt-Atp6_B3<==>mt-Co3_B3,0.0579903181645727,0.6904761904761905,0.1,0.8999999999999999,0.1,0.8999999999999999
