Edge Name,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_sign,Present_Count
Itgb1_M0<==>M6pr_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Manf_M0<==>Pdia3_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Manf_M0<==>Pdia6_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Manf_M0<==>Tgm2_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Myl12a_M0<==>Ndufc1_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Nars_B3<==>Rpl11_B5,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Ncl_B1<==>Snrpg_B1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ndufb1-ps_T2<==>Rpl39_B1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ndufb1-ps_T2<==>Rpl39_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ndufb1-ps_T3<==>Serbp1_T5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ndufc1_M0<==>Rab7_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Nucks1_B4<==>Tuba1b_B4,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Nusap1_T5<==>Pclaf_T5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Palld_T7<==>Ramp3_T7,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Pfn1_B4<==>Ran_B4,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Pi16_O7<==>Rack1_B1,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Pitpna_M0<==>Rab7_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ppp1ca_M0<==>Uqcrq_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Prdx5_M0<==>Sod2_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Psmb8_M3<==>Psme2_M3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Psmb8_M3<==>Txn1_M3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Psmb9_M0<==>Samhd1_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Psme2_M0<==>Tspo_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Ptp4a2_M0<==>Tomm6_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rab7_M0<==>Ywhab_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rack1_B1<==>Rpl17_T5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rack1_B1<==>Rpl9_T5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rack1_T5<==>Rps14_T5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rpl11_B2<==>Rpl17_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rpl11_B2<==>Rps4x_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rpl12_T2<==>Rpl19_T2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rpl13_M0<==>Rps24_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Rpl13_M4<==>Rps18_M4,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
