gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Hspa5,0.0010637453361911,0.0314201794077955,0.2702706993728666,0.1129963135640643,0.2868265978426827,0.4156250642720439,2.04323385573105,2.494522842044586,0.10491930114933481
Traf1,0.0966610330578377,0.4177118661563722,0.9692169978474025,-0.0013207552300811,0.2306228057818471,0.4482843049248906,0.7171405486069582,0.8472500217084009,0.6023564745082972
Rab14,0.0073033261887751,0.1568627450980392,0.7920774787647853,-0.2221315889485455,-0.0887365055597552,0.0266729922539002,0.9455885136934916,0.8891226261766509,0.30250192070013693
Gsn,0.0473446058585377,0.5713582599031516,1.0,-0.1066040998086559,0.0921563471214111,0.2358120267871031,0.7626495718282502,0.8201709244871264,0.718641722455964
Ggta1,0.004096213384139,0.1152655394141462,0.6238787012780821,0.0115262192566231,0.2248217843940149,0.4927156277756729,0.8715845417095082,1.022000328381722,0.25385328913776944
Rpl35,0.3045121854409781,0.7920774787647853,1.0,-0.0241590734314694,0.0245332762120289,0.0705711272242995,2.152136046215804,2.189923093226236,0.7977150408912251
Zeb2,3.175359212510915e-05,0.0001905215527506,0.0015241724220052,0.282978499219546,0.3718400303465101,0.4445194630922786,1.4692515746880177,1.9049640190176151,0.00539175994284198
Prpf40a,0.0314201794077955,0.4268635389378423,1.0,-0.2355303358587235,-0.0711174130141906,0.0933937330123164,0.7422768355902328,0.7065770985133462,0.604767867431336
Cytip,6.35071842502183e-05,0.0007144558228149,0.0073033261887751,0.5141461687806165,0.7169881164226901,0.9870821370736532,1.2047705261167052,1.98084294122156,0.011553771306092383
March7,0.0029639058244674,0.0821176473869336,0.3053901722632373,-0.5227691051373266,-0.3359251288407311,-0.1748942503435058,0.8103449315226787,0.6421553167471294,0.20389799609181206
Rbms1,1.5876796062554575e-05,3.175359212510915e-05,0.0021592442645074,0.5144667438430669,0.724353055851239,0.9053753098482288,0.7801633293411975,1.2853480651857998,0.0017116698231249314
Tank,0.0690958164642375,0.4726680955783123,0.9699293482575216,-0.2088642770624812,-0.0528048472933886,0.0883577626941063,0.8352203829571233,0.80678368327683,0.6468452405098767
Ppig,0.0010637453361911,0.0252441057394617,0.2702706993728666,0.121071817519663,0.2411496413215865,0.383782898029251,1.1818565857078371,1.40071679847161,0.08902282771673098
Ssb,0.1349368897356513,0.5713582599031516,1.0,-0.2086488132616876,-0.0651612131441991,0.1710967574140306,0.7776860407623472,0.7433511571493039,0.718641722455964
Dync1i2,0.0941487815333315,0.3522675423008745,0.8117236006525468,-29.047467612291328,-0.5689642347438608,0.1067548087093914,0.5367815572961635,0.3579216704809165,0.5388428126478969
Wipf1,0.1425303019847767,0.64330403310901,1.0,-0.2499219017440246,0.0735900448781248,0.4004868947379975,0.711427237683245,0.7526829639076089,0.7492529890004783
