"Ligand","Receptor","From","To","LR_score","TF","TF_activity","Combined_score"
"Ifng","Ifngr2","M5","M5",0.51188752548219,"Hif1a",1.18181465190299,0.604956177741219
"Tnf","Tnfrsf1a","M0","M3",0.38476428368985,"Foxo1",1.5660531765895,0.602561328710671
"Ifng","Ifngr1","M5","M5",0.517323383862765,"Nr1h3",1.16440208319374,0.602372425854637
"Ccl3","Ccr5","M5","M3",0.384401186227811,"Foxo1",1.5660531765895,0.601992698776833
"Ccl7","Ccr2","M5","M3",0.384137044066952,"Foxo1",1.5660531765895,0.601579038106749
"Tnf","Tnfrsf1a","M0","M3",0.38476428368985,"Relb",1.55684305291437,0.599017602072117
"Ccl3","Ccr5","M5","M3",0.384401186227811,"Relb",1.55684305291437,0.59845231631081
"Ccl7","Ccr2","M5","M3",0.384137044066952,"Relb",1.55684305291437,0.598041088422695
"Il1b","Il1r1","M3","T4",0.370607551746081,"Hif1a",1.61243559260554,0.59758080732378
"Ifng","Ifngr2","M5","M5",0.51188752548219,"Nr1h3",1.16440208319374,0.596042901032349
"Il1b","Il1r1","M5","T4",0.368386289853848,"Hif1a",1.61243559260554,0.593999165588246
"Ccl2","Ccr5","M5","M3",0.356245739774062,"Stat5a",1.66539579265451,0.593290156170818
"Ccl2","Ccr2","M5","M3",0.341861944865315,"Stat4",1.72979620592574,0.591351495178417
"Tnf","Tnfrsf1a","M0","T4",0.353063052474376,"Nfkb1",1.65906288136941,0.585753805143216
"Ccl2","Ccr5","M5","M3",0.356245739774062,"Stat3",1.62049763535197,0.577295378908082
"Ccl2","Ccr2","M5","M3",0.341861944865315,"Stat5a",1.66539579265451,0.569335444647385
"Tnf","Tnfrsf1a","M0","T4",0.353063052474376,"Hif1a",1.61243559260554,0.56929143224364
"Tnf","Tnfrsf1b","M0","T4",0.272034714312352,"Stat3",2.07454432325585,0.564348072305218
"Ccl2","Ccr5","M5","M3",0.356245739774062,"Foxo1",1.5660531765895,0.557899772419645
"Ccl2","Ccr5","M5","M3",0.356245739774062,"Relb",1.55684305291437,0.55461870509759
"Ccl2","Ccr2","M5","M3",0.341861944865315,"Stat3",1.62049763535197,0.55398647327107
"Ccl2","Ccr2","M5","M3",0.341861944865315,"Foxo1",1.5660531765895,0.53537398471139
"Ccl2","Ccr2","M5","M3",0.341861944865315,"Relb",1.55684305291437,0.532225393919361
