gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Rab2a,0.2854763088518824,0.7508318840891169,1.0,-0.059682041782744,0.0065484703415656,0.0689441235475983,1.2193426050549565,1.2252903372541324,0.7935107490794456
Pnrc1,7.658289467492398e-05,0.0003842020270349,0.00200950485566,-0.1714003418704484,-0.1398913411776924,-0.1054348926509855,2.2045342637753613,2.0007936725652624,0.014860257861949439
Dnaja1,0.0165749267498532,0.126022121770373,0.4704864220587896,-0.0979934677430089,-0.0486003292828007,9.17731054002544e-05,1.7605639647697835,1.7013641881625283,0.24809060834795
Clta,0.0519192379597802,0.2716119325735385,0.8175379940758373,-0.1293232272232327,-0.0457700452490707,0.0479851166342642,1.1844542276763377,1.146773554874429,0.4260912192247385
Sec61b,0.0140850908547041,0.078252228526237,0.2861474366724902,-0.1530410284825713,-0.1020457672983027,-0.0445858076066707,1.5633948067485224,1.454920421809075,0.18019549871638063
Txn1,0.0005920421458944,0.0016520394562341,0.0051079054249954,-0.3106646963341263,-0.260392069952822,-0.2053914908434806,1.7037210226087771,1.423412856019025,0.021264713000756878
Ptbp3,0.2361761964463954,0.6650055421020291,1.0,-0.0534930968005355,0.0079729347256604,0.087852366753802,1.251386290236297,1.2582394793721563,0.7666121262404455
Tnfsf8,0.0086155581188204,0.078252228526237,0.4365995540824121,0.0286531421863046,0.0997123184842128,0.1680587650778457,1.789140616216825,1.91635496061612,0.18019549871638063
Rps6,0.0350891160940478,0.1409552191443714,0.4025038237820035,0.0005972188848239,0.0173007588639166,0.0372519154526277,3.044642334457414,3.080561732866043,0.26207229633509055
Jak1,9.734567564713264e-05,0.0016520394562341,0.0194533879113813,0.07208228023841,0.1139451988401165,0.1632735141833678,1.3177919641208,1.4257570220028586,0.021264713000756878
Mier1,0.068964333339054,0.2602362026171888,0.6650055421020291,-0.1304968677258975,-0.0700114695204894,-0.0075188350533906,1.6468278922348565,1.5672323527382823,0.4095253094477392
Tut4,0.0303828219765775,0.1614886884829126,0.623604884395689,0.0206451436969807,0.0666395490941288,0.1175218600995916,1.4900804569300776,1.5612002797121498,0.29372217977689175
Uqcrh,0.0101931049911082,0.1123511976904639,0.5443701458566098,0.0085488348739799,0.0276938962259773,0.0481417651971867,2.195669793949837,2.238296350720254,0.2274205695186003
