Edge Name,U_statistic,p_value,infTLSwk3_median,KOTLS_median,note
Rbm39_B3<==>Srgn_B3,121.0,5.8160786416504175e-05,0.7999999999999998,0.4166666666666666,
Rbm39_B3<==>Sub1_B3,121.0,6.053108093443737e-05,0.7999999999999998,0.369047619047619,
Rbm39_B3<==>Tbc1d4_M3,121.0,4.4212905550252896e-05,0.7999999999999998,0.4047619047619047,
Rbm39_B3<==>Tmsb4x_T4,5.0,0.00023645281000029547,-0.7999999999999998,-0.3809523809523809,
Rbm39_B3<==>Tomm20_B3,111.0,0.0006701548207773941,0.7999999999999998,0.5952380952380952,
Rbm39_B3<==>Vapa_B3,103.0,0.005369465371173554,0.5999999999999999,0.4880952380952381,
Rbm39_M3<==>Reep5_T2,115.0,0.00033230562547549325,0.7999999999999998,0.3452380952380952,
Rbm39_M3<==>Runx3_M4,102.0,0.006146449881340448,0.7999999999999998,0.5714285714285714,
Rbm39_M3<==>Samsn1_M3,121.0,4.4212905550252896e-05,0.7999999999999998,0.3214285714285714,
Rbm39_M3<==>Snhg15_M3,90.0,0.05596434157733637,0.6999999999999998,0.5357142857142858,
Rbm39_M3<==>Sqstm1_M3,121.0,5.39100257511496e-05,0.7999999999999998,0.4047619047619047,
Rbm39_M3<==>Stxbp3_M3,121.0,6.84202319775224e-05,0.7999999999999998,0.4285714285714285,
Rbm39_M3<==>Tgfb1_M3,98.0,0.01271780798596036,0.7999999999999998,0.7142857142857142,
Rbm39_M3<==>Ywhaz_T3,121.0,5.9931654144419045e-05,0.7999999999999998,0.369047619047619,
Rbm39_M5<==>Spag9_M5,120.0,6.006325074488278e-05,0.7999999999999998,0.4523809523809523,
Rbm39_M5<==>Tpm3_B1,106.0,0.0029528691782763268,0.6999999999999998,0.5,
Rbm39_M5<==>Ubl5_T5,117.0,0.00013656189004123618,0.7999999999999998,0.4404761904761904,
Rbm39_T2<==>Xist_B1,0.0,3.493796286718787e-05,-0.7999999999999998,-0.3095238095238095,
Rbm3_B1<==>Rpl41_M3,,,,,insufficient data
Rbm3_B1<==>Rps20_B5,,,,,insufficient data
Rbm3_B1<==>Rps29_M2,,,,,insufficient data
Rbm3_B1<==>mt-Atp8_B3,27.0,0.028026030459586116,-0.7999999999999998,-0.6785714285714286,
Rbm3_B1<==>mt-Nd3_B2,39.0,0.1662212554416571,-0.5999999999999999,-0.5476190476190477,
Rbm3_B1<==>mt-Nd4l_B3,1.0,8.81790473584748e-05,-0.6999999999999998,-0.5238095238095238,
Rbm3_B4<==>Rpl12_B0,,,,,insufficient data
Rbm3_B4<==>Rpl12_T2,,,,,insufficient data
Rbm3_B4<==>Rpl12_T5,,,,,insufficient data
Rbm3_B4<==>Rpl13a_B1,,,,,insufficient data
Rbm3_B4<==>Rpl19_T2,,,,,insufficient data
Rbm3_B4<==>Rps16_T2,,,,,insufficient data
Rbm3_B4<==>Rps18_T5,,,,,insufficient data
Rbm3_B4<==>Tmem234_M3,,,,,insufficient data
Rbm3_B4<==>mt-Atp8_B3,4.0,0.00019375066947410253,-0.7999999999999998,-0.5119047619047619,
Rbm3_B4<==>mt-Nd4l_B3,15.0,0.0026293148102723663,-0.7999999999999998,-0.6904761904761905,
Rbm5_M3<==>Rps27l_M4,,,,,insufficient data
Rbm5_M3<==>Sat1_B1,3.0,0.00010595103887517782,-0.7999999999999998,-0.3333333333333333,
Rbm5_M3<==>Sec61b_M5,,,,,insufficient data
Rbm5_M3<==>Selplg_T3,,,,,insufficient data
