cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B6_0,M1,2.5312330581406224,4,0.6328082645351556
B0,T7,2.5261904761904757,4,0.6315476190476189
O10,T5,2.5071428571428567,4,0.6267857142857142
M2,M5,2.4999999999999996,4,0.6249999999999999
M2,T5,2.495238095238095,4,0.6238095238095237
M1,T6,2.483333333333333,4,0.6208333333333332
B3,M7,2.4023809523809523,4,0.6005952380952381
T3,T6,2.2190476190476187,3,0.7396825396825396
O10,T0,2.2086443721446414,4,0.5521610930361603
M4,M7,2.1999999999999993,3,0.7333333333333331
M7,O10,2.154761904761904,3,0.718253968253968
M7,O7,2.1380952380952376,3,0.7126984126984125
B5,T6,2.0999999999999996,3,0.6999999999999998
B0,M0,2.09047619047619,3,0.6968253968253967
O7,T7,2.039598389176533,3,0.679866129725511
B2,T6_2,1.9238095238095236,3,0.6412698412698412
O7,T4,1.9190476190476187,3,0.6396825396825395
B1,B7,1.9006817257519535,3,0.6335605752506511
B4,O10,1.8999999999999997,3,0.6333333333333332
M5,T6,1.8999999999999995,3,0.6333333333333332
B7,M3,1.8952380952380952,3,0.6317460317460317
B1,T6_3,1.883333333333333,3,0.6277777777777777
B0,T6,1.8571428571428572,3,0.6190476190476191
O10,T7,1.827693627271771,3,0.6092312090905904
O10,T2,1.7999999999999998,3,0.6
B7,O7,1.7714285714285711,3,0.5904761904761904
M4,T6,1.7595238095238093,3,0.5865079365079364
M2,T4,1.7547619047619043,3,0.5849206349206347
M0,O10,1.7238095238095235,3,0.5746031746031744
B6_0,T2,1.7200503499591375,3,0.5733501166530458
O10,T3,1.6999999999999995,3,0.5666666666666665
M7,T7,1.5062307283070526,2,0.7531153641535263
M7,T3,1.4785714285714284,2,0.7392857142857142
O10,O7,1.3999999999999997,2,0.6999999999999998
B4,B6_0,1.3999999999999997,2,0.6999999999999998
T5,T6_2,1.3999999999999997,2,0.6999999999999998
B7,M5,1.3999999999999997,2,0.6999999999999998
M2,O7,1.3745966692414833,2,0.6872983346207416
B0,M2,1.3714285714285712,2,0.6857142857142856
T6,T7,1.3476190476190475,2,0.6738095238095237
B7,M0,1.3164307357168348,2,0.6582153678584174
B6_0,T3,1.2999999999999998,2,0.6499999999999999
M1,M7,1.2999999999999998,2,0.6499999999999999
B3,T6_3,1.2999999999999998,2,0.6499999999999999
O10,T1,1.2999999999999998,2,0.6499999999999999
