cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
T5,T6,5.683333333333332,9,0.6314814814814813
M2,M4,5.623809523809522,9,0.6248677248677246
B4,T6,5.538095238095236,9,0.6153439153439151
B1,T6_2,5.3999999999999995,7,0.7714285714285714
B7,T1,5.336934755090861,8,0.6671168443863577
M2,T5,5.1952380952380945,9,0.5772486772486771
B5,T6,5.094969208065749,8,0.6368711510082187
M4,O7,4.935714285714285,9,0.5484126984126984
B6_0,M1,4.831233058140622,8,0.6039041322675778
M7,T3,4.7785714285714285,7,0.6826530612244898
O10,T3,4.626190476190475,8,0.5782738095238094
B2,O10,4.538095238095238,8,0.5672619047619047
M4,M7,4.402380952380952,7,0.6289115646258503
B7,M0,4.384318475838322,7,0.626331210834046
B2,M2,4.2602996029785265,7,0.6086142289969324
O7,T7,4.251503151081295,7,0.6073575930116135
T6,T7,4.1952380952380945,7,0.5993197278911564
B5,M2,4.102380952380951,7,0.5860544217687073
O10,T1,4.099999999999999,6,0.6833333333333331
M2,T3,4.099999999999999,7,0.5857142857142855
M5,T6,3.9595238095238092,7,0.5656462585034013
B4,M7,3.861350635893624,7,0.5516215194133748
M7,O10,3.8547619047619044,6,0.6424603174603174
B7,M3,3.795238095238095,6,0.6325396825396825
M2,T4,3.7619047619047614,6,0.6269841269841269
B4,O10,3.6999999999999993,6,0.6166666666666666
B2,M7,3.6309523809523805,6,0.6051587301587301
B0,T7,3.6261904761904753,6,0.6043650793650792
B1,B7,3.6131095051003985,6,0.6021849175167331
T3,T6,3.5190476190476185,5,0.7038095238095237
B1,T6_3,3.39681111095425,6,0.5661351851590416
B2,T6_2,3.3238095238095235,5,0.6647619047619047
M2,O7,3.1579300025748163,5,0.6315860005149633
O10,O7,3.1499999999999995,5,0.6299999999999999
M0,T6_2,3.088095238095238,5,0.6176190476190475
B5,B6_0,3.0547619047619046,5,0.6109523809523809
T0,T7,3.0476190476190466,5,0.6095238095238094
B3,B6_0,3.0474129792483584,5,0.6094825958496717
B0,T6,2.9214285714285713,5,0.5842857142857143
O10,T7,2.8919793415574855,5,0.5783958683114971
B3,T6_2,2.6999999999999993,4,0.6749999999999998
T4,T6_2,2.671428571428571,4,0.6678571428571427
T5,T6_2,2.6357142857142852,4,0.6589285714285713
T4,T6_3,2.4999999999999996,4,0.6249999999999999
B7,T2,2.477180136454095,4,0.6192950341135237
M7,T5,2.2785714285714285,4,0.5696428571428571
B7,O7,2.271428571428571,4,0.5678571428571427
B6_0,T2,2.2438598737686615,4,0.5609649684421654
O10,T0,2.2086443721446414,4,0.5521610930361603
M1,T6_2,2.207142857142857,3,0.7357142857142857
M2,M7,2.176190476190476,4,0.544047619047619
M7,O7,2.1380952380952376,3,0.7126984126984125
B7,T3,2.1324555320336755,3,0.7108185106778918
M7,T7,2.1062307283070525,3,0.7020769094356841
B3,B7,1.9176063423324008,3,0.6392021141108003
B4,B6_0,1.9119047619047616,3,0.6373015873015871
B6_0,M3,1.8428571428571425,3,0.6142857142857142
B1,B6_0,1.7999999999999996,3,0.5999999999999999
B7,T4,1.7621819264191214,3,0.5873939754730405
M3,O4,1.7547619047619045,3,0.5849206349206348
B4,M2,1.7119047619047616,3,0.5706349206349205
M4,O4,1.695238095238095,3,0.565079365079365
T0,T6,1.6880952380952379,3,0.5626984126984126
B3,O4,1.5119047619047619,3,0.503968253968254
B6_0,T5,1.4999999999999996,2,0.7499999999999998
B7,M5,1.3999999999999997,2,0.6999999999999998
B6_0,T1,1.3999999999999997,2,0.6999999999999998
B0,O10,1.3999999999999997,2,0.6999999999999998
B0,M2,1.3714285714285712,2,0.6857142857142856
B4,B7,1.3312276694065037,2,0.6656138347032519
B6_0,T3,1.2999999999999998,2,0.6499999999999999
B3,T6_3,1.2999999999999998,2,0.6499999999999999
O7,T0,1.2999999999999998,2,0.6499999999999999
B2,B6_0,1.2428571428571427,2,0.6214285714285713
B7,T5,1.216227766016838,2,0.608113883008419
O7,T6,1.2142857142857142,2,0.6071428571428571
M2,T6,1.2119047619047616,2,0.6059523809523808
B0,T0,1.1999999999999997,2,0.5999999999999999
O10,O4,1.1595238095238094,2,0.5797619047619047
T6_3,T7,1.1378647873726218,2,0.5689323936863109
M3,T6_2,1.130952380952381,2,0.5654761904761905
O10,T6,1.0999999999999999,2,0.5499999999999999
M7,T0,1.0999999999999996,2,0.5499999999999998
M2,O10,1.0714285714285714,2,0.5357142857142857
B4,T6_3,0.9999999999999999,2,0.49999999999999994
T6,T6_2,0.7999999999999998,1,0.7999999999999998
B6_0,M4,0.7999999999999998,1,0.7999999999999998
M4,T6_3,0.7162277660168379,1,0.7162277660168379
O4,T4,0.6999999999999998,1,0.6999999999999998
B6_0,T0,0.6999999999999998,1,0.6999999999999998
B7,M4,0.6999999999999998,1,0.6999999999999998
