"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Thy1",0.385220370594904,0.689308067886627,0.008,0.005,1
"Zfp54",0.385229215144692,0.00817711019160594,0.032,0.025,1
"Pitpna",0.385618783655233,-0.128973815074145,0.64,0.501,1
"Erp44",0.385647263302781,0.0479732043974523,0.844,0.723,1
"Micall1",0.385671725506131,-0.934262665057161,0.029,0.036,1
"Mrtfa",0.385917824820409,-0.191886663017245,0.027,0.02,1
"Slc15a4",0.385939020261251,-0.203231885851519,0.101,0.085,1
"Cbx5",0.386015278091295,-0.220173062384381,0.084,0.07,1
"Cbr3",0.386153205939891,-0.535113455771719,0.015,0.011,1
"Them4",0.386213000393107,-0.139911520246335,0.027,0.02,1
"Gm42659",0.386444597048985,-0.245425491209021,0.034,0.027,1
"Etf1",0.386772648422846,-0.12659835640137,0.623,0.502,1
"Gm33023",0.386854290240216,0.37468278140239,0.013,0.009,1
"Cdk1",0.387070249743749,0.245328549969349,0.013,0.009,1
"Zfp563",0.387455033113012,0.425125645909654,0.046,0.037,1
"Polr1c",0.387549295996966,-0.272764342625509,0.154,0.128,1
"Gm16973",0.387718569328079,0.434827901794129,0.013,0.009,1
"Eml3",0.387868216270546,-0.241978657636059,0.055,0.045,1
"Fsd1l",0.387934822852554,0.359192059371142,0.013,0.009,1
"Nsmf",0.387963630956437,0.733317816605346,0.01,0.006,1
"Samd9l",0.388038755935479,-0.194065401190446,0.011,0.008,1
"Dyrk2",0.388116767605,-0.352967577064244,0.122,0.102,1
"Pou6f1",0.388306580385458,-0.918926999497602,0.053,0.061,1
"Tctex1d2",0.388334689599796,-0.373930259753953,0.093,0.078,1
"Rnf19b",0.388603167838352,-0.0951104342756693,0.495,0.424,1
"Fam98c",0.388670021754991,0.0918293117441005,0.076,0.064,1
"Msc",0.388746675296375,0.471997167916997,0.011,0.008,1
"Nuak2",0.388754240046575,0.368644042735609,0.023,0.017,1
"Zdhhc9",0.389149617792186,-0.153463398136322,0.07,0.058,1
"Fkbp7",0.389166609259673,-0.18928096029951,0.015,0.011,1
"1810062G17Rik",0.389219058071108,0.514230749008775,0.011,0.008,1
"Zfp458",0.389450654596231,0.0574472681770155,0.013,0.009,1
"Lamb2",0.389582068914176,-0.799289276082291,0.019,0.025,1
"Loxl2",0.389799456045511,0.471850522461108,0.01,0.006,1
"Glg1",0.39014672403576,-0.327063596656167,0.24,0.233,1
"3010003L21Rik",0.390198824382192,0.24372316648013,0.023,0.017,1
"Supt16",0.390269960918285,-0.154922004408275,0.263,0.221,1
"Tex14",0.390324946231314,0.0608791983634935,0.01,0.006,1
"Slc25a14",0.390475687182714,0.187239483647759,0.03,0.024,1
"Nupr1l",0.390600532882826,0.383259919949615,0.025,0.019,1
"Fcho2",0.391211582682294,-0.558898219734394,0.213,0.209,1
"Syne2",0.391598095028459,-0.00796197762591011,0.482,0.425,1
"Cnn3",0.39162236877553,0.00398780256280507,0.013,0.009,1
"Slco5a1",0.391640554070692,0.258901163904415,0.01,0.006,1
"Taf4b",0.391978692617675,-0.394156828999964,0.05,0.058,1
"Qpctl",0.391982524794318,-0.687455026111582,0.135,0.14,1
"F3",0.392167549825114,0.45260821079795,0.01,0.006,1
"Azi2",0.392277017602145,-0.257859641207361,0.227,0.188,1
"Gm26533",0.3924312089141,0.182528490067346,0.01,0.006,1
"A330040F15Rik",0.392535507836015,0.222949691112197,0.011,0.008,1
"Igflr1",0.392773050880485,0.197317869475818,0.011,0.008,1
"9230111E07Rik",0.392958849435367,0.242718837570188,0.01,0.006,1
"1700019L13Rik",0.392958849435367,0.108002645295756,0.01,0.006,1
"1500009L16Rik",0.392958849435367,-0.00976241437190062,0.01,0.006,1
"Rab21",0.393104586672424,-0.142809586129796,0.598,0.471,1
"Mlf1",0.39314693267721,-0.535210317128124,0.013,0.009,1
"Slc5a3",0.393239510846319,-0.319187159535334,0.032,0.025,1
"Retnlb",0.393248398281345,-0.0753571100619794,0.011,0.008,1
"Slmap",0.393376675402434,-0.47623259570428,0.122,0.101,1
"Btbd19",0.393486919640034,0.407728424463306,0.01,0.006,1
