"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"9330104G04Rik",0.131213967048287,2.64088646522281,0.001,0,1
"Gpr4",0.131213967048287,2.15351667084721,0.001,0,1
"Apoc2",0.131213967048287,2.77087071503518,0.001,0,1
"Tmem91",0.131213967048287,3.51750230681778,0.001,0,1
"Gm38973",0.131213967048287,2.86489314800429,0.001,0,1
"Syne4",0.131213967048287,3.18094067788654,0.001,0,1
"Mag",0.131213967048287,2.63850961570403,0.001,0,1
"Myh14",0.131213967048287,2.5395908340084,0.001,0,1
"Zfp473",0.131213967048287,3.18061935035922,0.001,0,1
"Grin2d",0.131213967048287,2.43975129773222,0.001,0,1
"Ndn",0.131213967048287,2.82057212537486,0.001,0,1
"Gm16158",0.131213967048287,2.45992122608213,0.001,0,1
"Folr2",0.131213967048287,2.82159727667852,0.001,0,1
"Trim30b",0.131213967048287,2.41857932186014,0.001,0,1
"Gm20663",0.131213967048287,4.32710848317737,0.001,0,1
"1600010M07Rik",0.131213967048287,2.8787161207382,0.001,0,1
"Tead1",0.131213967048287,2.61154086453203,0.001,0,1
"Il27",0.131213967048287,2.62010136370003,0.001,0,1
"Eps8l2",0.131213967048287,2.23495691742042,0.001,0,1
"Ano1",0.131213967048287,2.39998035851891,0.001,0,1
"F7",0.131213967048287,1.80494325368157,0.001,0,1
"1810012K16Rik",0.131213967048287,1.85559840382506,0.001,0,1
"Tex15",0.131213967048287,2.42607704877034,0.001,0,1
"Gm16793",0.131213967048287,2.25316435655007,0.001,0,1
"Palm3",0.131213967048287,2.57262720410603,0.001,0,1
"1700122E12Rik",0.131213967048287,1.80494325368157,0.001,0,1
"Ctrl",0.131213967048287,2.50280052211307,0.001,0,1
"Smpd3",0.131213967048287,2.66250083051929,0.001,0,1
"Il34",0.131213967048287,2.5547111161174,0.001,0,1
"Pkd1l2",0.131213967048287,2.81363862098211,0.001,0,1
"Gm16754",0.131213967048287,2.94480941766319,0.001,0,1
"Ap1m2",0.131213967048287,3.13100162583613,0.001,0,1
"Gm39321",0.131213967048287,2.41492171161777,0.001,0,1
"Foxr1",0.131213967048287,1.87443566060285,0.001,0,1
"2900052N01Rik",0.131213967048287,2.60054623943861,0.001,0,1
"Nxpe4",0.131213967048287,2.43975129773222,0.001,0,1
"Hspb2",0.131213967048287,2.9278670858192,0.001,0,1
"Dmxl2",0.131213967048287,2.2904101776036,0.001,0,1
"AY074887",0.131213967048287,3.15280267950224,0.001,0,1
"9430037G07Rik",0.131213967048287,2.78439384072893,0.001,0,1
"Gm47328",0.131213967048287,1.74020707942777,0.001,0,1
"Tlr9",0.131213967048287,2.27341080190955,0.001,0,1
"Col7a1",0.131213967048287,2.56906055289906,0.001,0,1
"Gm38004",0.131213967048287,3.15560647626791,0.001,0,1
"Plxnb1",0.131213967048287,3.57024688815932,0.001,0,1
"Samd3",0.131213967048287,2.87122477246391,0.001,0,1
"Gm48065",0.131213967048287,3.06290450361549,0.001,0,1
"Gm47644",0.131213967048287,2.881155706862,0.001,0,1
"Cdh23",0.131213967048287,2.29804683762871,0.001,0,1
"Rtkn2",0.131213967048287,3.03840555867753,0.001,0,1
"Gzmm",0.131213967048287,2.58958646634784,0.001,0,1
"Kiss1r",0.131213967048287,2.44021263906675,0.001,0,1
"4930404N11Rik",0.131213967048287,2.9115172390182,0.001,0,1
"Glt8d2",0.131213967048287,3.02522450879223,0.001,0,1
"Mgat4c",0.131213967048287,2.63661419556444,0.001,0,1
"Ifngas1",0.131213967048287,2.54176779428026,0.001,0,1
"Il23a",0.131213967048287,3.37978680919679,0.001,0,1
"Ranbp17",0.131213967048287,2.45092423479895,0.001,0,1
"Glra1",0.131213967048287,2.30697666992615,0.001,0,1
"Usp43",0.131213967048287,3.16470396488137,0.001,0,1
