"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AA388235",0.115038013590272,1.90853600663209,0.01,0.004,1
"Sema6d",0.115125312661787,-0.612231935560941,0.068,0.093,1
"Exoc1",0.115158659220553,0.218821729468803,0.198,0.16,1
"Chic2",0.115317593251053,-0.186970451352521,0.516,0.53,1
"Stamos",0.115319103803556,-2.03199665950338,0.003,0.011,1
"Eln",0.115319103803556,-1.91204178924863,0.003,0.011,1
"Spred3",0.115319103803556,-2.08383360914037,0.003,0.011,1
"Grhpr",0.115404030125564,0.298168393585096,0.065,0.045,1
"Depdc7",0.11545014107862,-1.03446965960078,0.052,0.073,1
"Rassf2",0.115469691683985,-0.514288168366614,0.268,0.29,1
"Lynx1",0.115471966441672,1.81345425443163,0.01,0.004,1
"Ackr3",0.115482334571221,-2.47357955573125,0.003,0.011,1
"Pkd1l2",0.115482334571221,-1.73620124523534,0.003,0.011,1
"Slamf6",0.115619140449046,0.0921310821384234,0.068,0.046,1
"Bcl2a1d",0.115628680099155,-0.186800563027604,0.859,0.872,1
"Foxj1",0.115645746953159,-2.09847502171914,0.003,0.011,1
"Cep162",0.115688850764621,0.221020183491799,0.081,0.058,1
"Cpox",0.115790607746067,0.042039869015146,0.057,0.038,1
"Zhx1",0.115797079184608,-0.341387987333795,0.203,0.236,1
"Phactr4",0.115813233347234,0.304291486554187,0.182,0.146,1
"Polr3a",0.115973006436414,0.282301515641088,0.094,0.069,1
"Ethe1",0.11606866743321,0.160575004330388,0.193,0.155,1
"Srpk1",0.11610735521163,0.146194878307246,0.393,0.336,1
"Gm10484",0.116125307874794,1.41489858968951,0.01,0.004,1
"Pja1",0.116150786939684,-0.949811952247953,0.078,0.102,1
"Ube2n",0.116255048229659,0.0565883349048627,0.747,0.695,1
"Zranb1",0.116270554411402,0.0709646098011414,0.398,0.338,1
"Cenpc1",0.116338794081428,-0.728137017282697,0.201,0.228,1
"4933406I18Rik",0.116465537289877,-1.34955097765818,0.003,0.011,1
"Tmem241",0.116465537289877,-1.35438702020312,0.003,0.011,1
"Ndufa13",0.116486645645416,-0.0974050381958342,0.919,0.908,1
"Aasdhppt",0.116500551407426,0.162150945784598,0.224,0.182,1
"Stat6",0.116559142666305,-0.34742552002898,0.357,0.384,1
"Gm9970",0.116562480241853,-0.168906412650148,0.01,0.004,1
"Gm8013",0.116562480241853,1.48932015519389,0.01,0.004,1
"Klf5",0.116562480241853,1.45561856631468,0.01,0.004,1
"Mkrn1",0.116603647619231,0.156004547609157,0.758,0.699,1
"Gna13",0.116695982744903,0.152377106628068,0.885,0.88,1
"Cmpk1",0.116771027241032,0.106242905682889,0.753,0.694,1
"Nrarp",0.116781550698505,0.820222591151579,0.01,0.004,1
"Ptges",0.116781550698505,1.15185274573956,0.01,0.004,1
"Gm15513",0.116781550698505,1.12592961198675,0.01,0.004,1
"Prrt1",0.116781550698505,1.03128007257384,0.01,0.004,1
"Stt3a",0.116807905707177,-0.322841688439749,0.339,0.364,1
"Cnnm1",0.116959598562523,-1.26686385129625,0.003,0.011,1
"Sept10",0.11697829176024,-0.0590411172525949,0.047,0.03,1
"Mrpl15",0.117044050019641,0.17517854998573,0.414,0.363,1
"Creld2",0.117320932808408,-0.46134162380232,0.331,0.347,1
"Cdk9",0.117353265327507,0.0954774478183641,0.424,0.362,1
"Pxn",0.117364006461693,0.123904132063991,0.477,0.415,1
"BC004004",0.117408771178967,0.18284098297042,0.336,0.275,1
"Pld1",0.117440702555339,0.98947156893828,0.01,0.004,1
"Yjefn3",0.117440702555339,1.09600037355091,0.01,0.004,1
"Slc35g1",0.117440702555339,1.33380893057637,0.01,0.004,1
"F2rl2",0.117455304101556,-1.21328594956882,0.003,0.011,1
"Sdha",0.117468264414656,0.142193126076508,0.487,0.42,1
"Ankrd13d",0.117620905233558,-0.815175971328196,0.003,0.011,1
"Cybc1",0.117733025104918,0.219637310770089,0.224,0.182,1
"Tmem176a",0.117848695733526,0.122260522314378,0.508,0.459,1
"Cntf",0.117881757024518,0.82863687784333,0.01,0.004,1
"Adnp2",0.117910329504196,-0.875582963157173,0.057,0.079,1
"A930006K02Rik",0.117945058147013,0.14060977327422,0.083,0.059,1
"Slc22a4",0.118024806257155,-1.23201734159411,0.018,0.033,1
"Khsrp",0.118040582254349,0.102580186242401,0.354,0.293,1
"Lonp1",0.118137953660111,0.236947230254267,0.154,0.119,1
"Memo1",0.118148053791573,-0.0557474631934496,0.195,0.151,1
"Ppp6r3",0.118393747900088,0.107296500414575,0.349,0.295,1
"Zmym6",0.118558785122896,0.996253578012785,0.031,0.018,1
"Lsm7",0.119021243800334,0.182331466235279,0.422,0.364,1
"Siah2",0.11919931331551,0.128030126809444,0.214,0.175,1
"1700021F05Rik",0.119348353377863,0.309752763635776,0.052,0.034,1
"Gm38115",0.119409265749757,-0.170269921472713,0.331,0.37,1
"Plgrkt",0.119504457709385,-0.209082896733943,0.622,0.619,1
"Nbas",0.119669524898598,0.420600707006468,0.068,0.047,1
"Mgat4a",0.119721868112931,-0.227776283910178,0.464,0.48,1
