gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median
Ppil3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nif3l1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Orc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15834,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam126b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ndufb3,0.00047630388187663733,0.012399777724855125,0.15747479558625013,-0.3861509486349807,-0.2488923528484906,-0.1289509152665286,0.8756748347242265,0.7370103713855956
Cflar,0.15333709008662408,0.5670225644633005,1.0,0.043998801919123164,0.27852878662531355,0.5547342801519339,0.5539986329528584,0.6772979854275155
Casp8,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trak2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stradb,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G730003C15Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Als2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fzd7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sumo1,0.2082876875446535,0.7344923394458999,1.0,-0.10019127245950014,-0.007176682210484954,0.10570828179946395,0.9996499059988679,0.9949736497716042
Nop58,0.06362866762178243,0.5264792305547628,1.0,-28.986211557833073,-1.031735088480751,1.234321656511712,0.47769769724345423,0.22247410620651975
Bmpr2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam117b,1.5876796062554575e-05,0.00047630388187663733,0.038707628800508063,0.3949069690723506,0.6149582459023997,0.8595268875036698,0.530167268638836,0.8075187496059666
Ica1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wdr12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Carf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nbeal1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Cyp20a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Abi2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
