gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median
Nrep,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Epb41l4aos,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Epb41l4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Apc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Srp19,0.026115524153578578,0.3190687002989552,0.9677600759522614,-0.08284288129214783,1.053800287331051,28.956535909996763,0.22834745764211425,0.4969218093688035
Reep5,0.1568627450980392,0.6238787012780821,1.0,-0.22778056638335115,-0.04084560119902485,0.11206558869807016,0.7883325594207677,0.7667391890542297
Pkd2l2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam13b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Brd8,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.97240939777157,0.0,0.0,0.0,0.0
Kif20a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdc23,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gfra3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdc25c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm3550,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam53c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kdm3b,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Egr1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Etf1,0.11526553941414623,0.5208065412399778,0.970681114551083,-0.03664264561384147,0.1062129248806982,0.23422929485235572,0.8744356476859023,0.945460729776872
Hspa9,0.2216027354857294,0.7264717268578031,1.0,-0.3312050421695738,0.0429639042229055,1.1187543102862352,0.502137891115631,0.5218255177922642
Ctnna1,0.01663334113528102,0.09765028809493484,0.5639121314176332,-29.067769691310243,-28.847592297767953,-26.97240939777157,0.483564431928613,0.0
Lrrtm2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sil1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Matr3,0.031509027975598604,0.2782729813185302,0.9075269506632171,-0.43104280976238424,-0.23803011151495382,-0.014751656066777108,0.5762997822655055,0.485053093999477
Paip2,0.005493371437643883,0.23797729618163055,0.9699293482575216,-0.030680011332705894,0.10508757251982945,0.283137101032518,0.640407664269518,0.6878596216430175
Slc23a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mzb1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prob1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Spata24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dnajc18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1700066B19Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ecscr,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem173,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2d2a,0.0073033261887751055,0.13493688973565135,0.7359319679288707,0.03936819238310775,0.16152785194081132,0.31579471339658377,0.8857107986170096,0.9906764794724956
Cxxc5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Psd2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nrg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pura,0.022438890030895015,0.3519631185845171,0.8822739356449067,-27.408936906803014,0.0,0.0,0.0,0.0
Igip,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cystm1,0.08715662938217593,0.266717246715916,0.47495853988950676,0.0,0.0,0.0,0.0,0.0
Pfdn1,0.009501095540355024,0.12233417091613663,0.7670968684102772,-27.195870256014,0.0,0.0,0.0,0.0
Hbegf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankhd1,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Eif4ebp3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sra1,0.057285939018475555,0.46241348526957793,1.0,-0.23074522470436257,-0.08405821638971014,0.1491689466763612,0.598466611095336,0.5661299125202645
Apbb3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc35a4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cd14,0.23930752323694093,0.7039203384624914,1.0,-28.33296645300969,0.0,1.386515242278959,0.0,0.0
Tmco6,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ndufa2,0.18134476462649837,0.6784313725490196,1.0,-0.08226355581073538,-0.004472272622942062,0.07295009812423998,1.317415623356275,1.313951893288505
Ik,0.18134476462649837,0.6784313725490196,1.0,-0.16114169512437576,0.07547839165619077,0.2711891968038542,0.6363806138113344,0.6743420716913899
Wdr55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dnd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hars,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
